Hujan ADC;Hujan %;Status Hujan;Soil ADC;Soil %;Status Soil%;accel_magnitude;gyro_magnitude;pitch;roll;status mpu;Label
4095;0.0;Terang;1133;72.0;Basah;1.942;500.27;-30.89;48.05;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1135;72.0;Basah;688;451.50;-41.19;54.66;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1122;72.0;Basah;822;219.00;40.82;-12.28;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1132;72.0;Basah;3.100;151.34;72.53;126.72;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1134;72.0;Basah;1.743;272.39;77.71;127.65;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1146;72.0;Basah;1.655;224.10;80.14;101.48;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1137;72.0;Basah;2.146;374.67;-54.82;-30.38;GETARAN_KUAT;Bahaya
3621;11.0;Terang;1131;72.0;Basah;2.019;518.79;-46.71;28.57;GETARAN_KUAT;Bahaya
3283;19.0;Terang;1129;72.0;Basah;1.582;181.58;-24.10;-25.77;GETARAN_KUAT;Bahaya
3143;23.0;Terang;1133;72.0;Basah;2.210;254.02;-74.19;-19.70;GETARAN_KUAT;Bahaya
3410;16.0;Terang;1135;72.0;Basah;1.640;209.65;-54.36;-5.16;GETARAN_KUAT;Bahaya
3119;23.0;Terang;1130;72.0;Basah;603;427.92;-31.22;41.62;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;1.695;357.53;-47.74;11.30;GETARAN_KUAT;Bahaya
3680;10.0;Terang;1136;72.0;Basah;2.164;293.03;-40.09;-50.04;GETARAN_KUAT;Bahaya
2377;41.0;Gerimis;3316;19.0;Kering;1.003;3.39;0.36;-3.24;STABIL;Aman
2173;46.0;Gerimis;3331;18.0;Kering;1.000;3.60;0.39;-3.28;STABIL;Aman
2151;47.0;Gerimis;3328;18.0;Kering;1.000;3.28;0.20;-3.29;STABIL;Aman
2128;48.0;Gerimis;3339;18.0;Kering;1.002;3.42;0.31;-3.33;STABIL;Aman
2122;48.0;Gerimis;3326;18.0;Kering;1.000;3.75;0.24;-2.87;STABIL;Aman
2025;50.0;Gerimis;3329;18.0;Kering;1.006;3.60;0.29;-2.96;STABIL;Aman
2047;50.0;Gerimis;3345;18.0;Kering;1.008;3.59;0.56;-2.99;STABIL;Aman
2019;50.0;Gerimis;3337;18.0;Kering;1.004;3.47;0.40;-2.94;STABIL;Aman
2025;50.0;Gerimis;3335;18.0;Kering;1.001;3.65;0.34;-3.16;STABIL;Aman
2032;50.0;Gerimis;3346;18.0;Kering;1.000;3.34;0.42;-3.46;STABIL;Aman
2038;50.0;Gerimis;3323;18.0;Kering;1.004;3.55;0.15;-2.97;STABIL;Aman
2039;50.0;Gerimis;3313;19.0;Kering;1.006;3.68;0.57;-3.14;STABIL;Aman
2027;50.0;Gerimis;3334;18.0;Kering;1.005;3.54;0.39;-2.78;STABIL;Aman
1883;54.0;Gerimis;3332;18.0;Kering;1.009;3.72;0.32;-2.72;STABIL;Aman
1879;54.0;Gerimis;3323;18.0;Kering;1.004;3.59;0.29;-2.94;STABIL;Aman
1887;53.0;Gerimis;3312;19.0;Kering;998;3.52;0.22;-3.06;STABIL;Aman
1890;53.0;Gerimis;3337;18.0;Kering;1.005;3.68;0.28;-3.09;STABIL;Aman
1903;53.0;Gerimis;3327;18.0;Kering;1.000;3.65;0.49;-3.11;STABIL;Aman
1902;53.0;Gerimis;3371;17.0;Kering;1.001;3.42;0.29;-3.16;STABIL;Aman
1907;53.0;Gerimis;3305;19.0;Kering;998;3.72;0.38;-2.96;STABIL;Aman
1915;53.0;Gerimis;3307;19.0;Kering;1.002;3.54;-0.82;3.83;STABIL;Aman
1492;63.0;Gerimis;3281;19.0;Kering;998;3.28;-1.07;3.80;STABIL;Aman
1516;62.0;Gerimis;3280;19.0;Kering;1.008;3.50;-1.15;3.49;STABIL;Aman
1501;63.0;Gerimis;3303;19.0;Kering;1.000;3.36;-1.11;3.75;STABIL;Aman
1493;63.0;Gerimis;3280;19.0;Kering;1.001;3.70;-1.20;3.64;STABIL;Aman
